Device,Model,Great,Good,Broken Screen,Defective
iPhone,iPhone 5 (all GB),5,5,0,0
,iPhone 5c (all GB),5,5,0,0
,iPhone 5s (all GB),10,5,0,0
,iPhone 6 16GB,50,40,0,0
,iPhone 6 32GB,55,45,0,0
,iPhone 6 64/128GB,60,50,0,0
,iPhone 6 Plus 16GB,80,70,0,0
,iPhone 6 Plus 32GB,90,75,0,0
,iPhone 6 Plus 64/128GB,100,80,0,0
,iPhone 6s 16GB,60,50,0,0
,iPhone 6s 32GB,75,60,0,0
,iPhone 6s 64/128GB,80,70,0,0
,iPhone 6s Plus 16GB,110,100,0,0
,iPhone 6s Plus 32GB,120,110,0,0
,iPhone 6s Plus 64/128GB,140,130,0,0
,iPhone SE (1st gen) 16GB,40,30,0,0
,iPhone SE (1st gen) 32GB,50,40,0,0
,iPhone SE (1st gen) 64/128GB,60,50,0,0
,iPhone SE (2nd gen) 64GB,300,280,100,0
,iPhone SE (2nd gen) 128GB,340,305,125,0
,iPhone SE (2nd gen) 256GB,360,355,175,0
,iPhone 7 32GB,110,97,0,0
,iPhone 7 128GB,140,115,0,0
,iPhone 7 256GB,160,130,0,0
,iPhone 7 Plus 32GB,175,155,0,0
,iPhone 7 Plus 128GB,190,170,0,0
,iPhone 7 Plus 256GB,195,175,0,0
,iPhone 8 64GB,200,185,0,0
,iPhone 8 256GB,240,220,25,0
,iPhone 8 Plus 64GB,285,255,5,0
,iPhone 8 Plus 256GB,300,265,35,0
,iPhone X 64GB,310,275,0,0
,iPhone X 256GB,345,320,0,0
,iPhone XR 64GB,330,300,0,0
,iPhone XR 128GB,350,310,40,0
,iPhone XR 256GB,365,335,65,0
,iPhone XS 64GB,360,330,0,0
,iPhone XS 256GB,410,375,0,0
,iPhone XS 512GB,425,400,20,0
,iPhone XS Max 64GB,435,405,0,0
,iPhone XS Max 256GB,465,430,0,0
,iPhone XS Max 512GB,485,450,0,0
,iPhone 11 64GB,500,465,225,0
,iPhone 11 128GB,565,530,260,0
,iPhone 11 256GB,590,560,290,0
,iPhone 11 Pro 64GB,615,585,205,0
,iPhone 11 Pro 256GB,720,680,300,0
,iPhone 11 Pro 512GB,815,780,400,0
,iPhone 11 Pro Max 64GB,715,670,210,0
,iPhone 11 Pro Max 256GB,780,735,275,0
,iPhone 11 Pro Max 512GB,850,770,310,0
,iPhone 12 Mini 64GB,620,590,260,0
,iPhone 12 Mini 128GB,670,640,310,0
,iPhone 12 Mini 256GB,760,720,390,0
,iPhone 12 64GB,700,630,250,0
,iPhone 12 128GB,740,670,290,0
,iPhone 12 256GB,850,770,390,0
,iPhone 12 Pro 128GB,950,900,520,0
,iPhone 12 Pro 256GB,980,950,570,0
,iPhone 12 Pro 512GB,1000,980,600,0
,iPhone 12 Pro Max 128GB,970,940,480,0
,iPhone 12 Pro Max 256GB,980,950,490,0
,iPhone 12 Pro Max 512GB,1000,980,520,0
Samsung,Galaxy J3 (SM-J320W),15,10,0,0
